date,home_team,away_team,team_news_home,team_news_away,injuries_home,injuries_away,suspensions_home,suspensions_away,expected_lineup_home,expected_lineup_away,coach_comments_home,coach_comments_away,source_type,source_status,request_success,status_code,error_type,error_message,web_search_success,final_text_success,intel_has_content,source_url,source_urls,intel_text,confidence,fetched_at
2026-07-02,Portugal,Croatia,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,openai,openai_failed_or_no_sources,False,429.0,unknown_error,"{""code"":""API_KEY_QUOTA_EXHAUSTED"",""message"":""API key 额度已用完""}",False,False,False,unknown,unknown,,0.0,2026-07-02T14:05:43.053231+00:00
2026-07-02,Portugal,Croatia,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,Portugal,Croatia,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,Portugal,Croatia,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,Spain,Austria,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,openai,openai_failed_or_no_sources,False,429.0,unknown_error,"{""code"":""API_KEY_QUOTA_EXHAUSTED"",""message"":""API key 额度已用完""}",False,False,False,unknown,unknown,,0.0,2026-07-02T14:05:40.994819+00:00
2026-07-02,Spain,Austria,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,Spain,Austria,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,Spain,Austria,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,Spain,Austria,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,United States,Bosnia-Herzegovina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,openai,openai_failed_or_no_sources,False,429.0,unknown_error,"{""code"":""API_KEY_QUOTA_EXHAUSTED"",""message"":""API key 额度已用完""}",False,False,False,unknown,unknown,,0.0,2026-07-02T14:05:38.831778+00:00
2026-07-02,United States,Bosnia-Herzegovina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,United States,Bosnia-Herzegovina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,United States,Bosnia-Herzegovina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,United States,Bosnia-Herzegovina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
2026-07-02,United States,Bosnia-Herzegovina,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_run,,,,,,,False,unknown,,,unknown,unknown
